AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,label
4347.18,3975.38,4266.67,4102.56,4333.33,4617.95,4097.44,4612.82,4210.77,4240.51,4248.21,4313.33,4664.1,4411.79,1
4317.44,3981.03,4283.59,4121.03,4351.28,4635.38,4091.28,4633.85,4210.77,4257.44,4234.87,4295.9,4658.97,4407.18,1
4390.26,4054.87,4349.23,4194.87,4420.51,4692.82,4154.36,4687.69,4272.82,4314.36,4300.0,4355.9,4703.59,4463.59,1
4382.05,4063.08,4329.23,4188.21,4412.82,4688.72,4153.33,4682.56,4270.26,4298.46,4267.69,4342.56,4687.69,4437.44,1
4330.26,4009.74,4304.1,4142.56,4371.79,4656.41,4113.33,4649.23,4226.67,4246.67,4193.85,4305.64,4610.77,4377.95,1
4362.56,3983.08,4273.33,4115.38,4336.41,4624.62,4104.62,4627.18,4212.82,4233.85,4245.13,4324.62,4663.08,4421.03,1
4320.0,4031.28,4277.95,4143.08,4377.95,4648.21,4102.56,4644.62,4228.21,4255.9,4229.23,4297.95,4643.08,4394.36,1
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,4620.0,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,1
4406.67,4128.21,4296.92,4162.56,4348.72,4607.69,4062.56,4601.03,4192.82,4211.28,4202.05,4296.41,4617.95,4427.69,1
4313.33,4022.05,4270.26,4130.26,4380.0,4648.72,4093.85,4654.87,4242.56,4256.41,4222.05,4288.21,4642.05,4388.72,1
4322.05,4038.97,4276.41,4126.15,4354.36,4623.08,4113.33,4621.03,4221.03,4238.46,4229.74,4305.13,4631.79,4382.05,1
4356.41,3983.59,4280.51,4115.38,4333.85,4616.92,4096.92,4622.56,4217.44,4236.41,4243.59,4314.36,4665.64,4422.05,1
4395.38,4074.36,4332.31,4197.95,4404.1,4671.79,4133.85,4676.41,4258.97,4282.56,4224.62,4327.69,4634.36,4424.62,1
4415.38,4048.21,4281.54,4158.46,4347.69,4600.0,4069.23,4585.13,4185.13,4252.82,4240.0,4306.15,4671.28,4472.31,1
4306.15,4024.1,4288.21,4138.97,4369.74,4654.87,4109.23,4670.77,4253.33,4269.74,4225.64,4302.05,4648.21,4376.41,1
4371.79,3993.33,4263.08,4117.44,4347.69,4599.49,4071.79,4589.23,4191.79,4237.44,4215.38,4293.33,4631.79,4426.67,1
4382.05,4033.33,4278.46,4131.79,4327.69,4613.85,4055.38,4615.38,4207.69,4244.62,4243.08,4309.23,4664.1,4450.77,1
4384.62,3994.36,4295.9,4132.31,4344.62,4621.54,4082.56,4607.69,4199.49,4258.97,4230.26,4314.87,4662.56,4449.74,1
4322.05,4025.13,4281.03,4139.49,4342.05,4626.67,4061.03,4631.28,4230.77,4258.97,4235.38,4297.95,4640.0,4388.72,1
4387.18,4071.79,4342.05,4187.18,4426.15,4703.08,4146.67,4674.87,4261.54,4304.62,4299.49,4350.26,4707.18,4464.1,1
4324.62,4044.1,4280.51,4125.64,4354.87,4629.23,4112.82,4628.21,4230.77,4252.31,4229.23,4298.97,4629.23,4376.92,1
4321.54,3984.1,4280.51,4119.49,4357.95,4640.0,4094.87,4654.36,4227.18,4264.1,4237.44,4302.56,4670.26,4423.08,1
4364.62,4038.97,4295.9,4154.36,4358.97,4626.67,4070.26,4619.49,4224.1,4247.18,4224.1,4303.08,4649.23,4408.21,1
4435.9,4111.79,4312.31,4169.23,4348.21,4608.72,4053.85,4585.13,4186.15,4219.49,4236.41,4304.1,4672.82,4471.79,1
4332.82,4028.72,4283.08,4135.9,4350.77,4630.26,4083.59,4632.82,4226.15,4248.21,4212.82,4292.82,4623.08,4392.31,1
4389.23,4006.67,4262.56,4123.08,4353.33,4609.74,4082.56,4591.28,4187.18,4235.9,4225.13,4297.95,4651.28,4456.41,1
4324.62,4044.1,4278.97,4121.03,4339.49,4620.51,4108.21,4614.36,4207.18,4222.05,4222.56,4303.08,4624.62,4387.18,1
