index,probability,label
3.0,0.5518321285594836,1
5.0,0.5446911840685476,0
6.0,0.6304918573608796,1
13.0,0.5205658872150345,1
15.0,0.5004922276453018,1
17.0,0.5019624053546887,1
18.0,0.5381030083481599,0
22.0,0.7626718515545299,1
28.0,0.7347506697452808,1
31.0,0.5162052610048459,1
32.0,0.7791740253683532,0
33.0,0.5483880390646481,1
34.0,0.7401895508884853,0
35.0,0.8186225310213182,0
36.0,0.5765421999002809,0
37.0,0.6131445079359874,0
38.0,0.5822563926053341,1
39.0,0.5778304470712552,1
40.0,0.7092277509932969,1
44.0,0.5899133755860176,0
46.0,0.5904227662670078,1
47.0,0.5075821559115574,1
48.0,0.6876419645743317,0
55.0,0.5686407245145837,1
57.0,0.5134685905340753,0
59.0,0.658158652485088,1
67.0,0.8321293822485966,0
70.0,0.7178797282054499,0
71.0,0.7359060826768694,0
74.0,0.5731188321231147,0
78.0,0.5614152701862279,0
82.0,0.5714332593005582,0
83.0,0.5059902815671098,1
85.0,0.5344794922458669,0
86.0,0.5717474007939505,0
93.0,0.6149755377081363,0
95.0,0.7239755647383722,0
98.0,0.7962391193321907,0
100.0,0.553958556818763,1
104.0,0.5481323356693117,0
105.0,0.9324195977308836,1
108.0,0.6798650482055588,0
110.0,0.57982774037745,1
111.0,0.9558257829996991,0
118.0,0.5188853066453221,1
119.0,0.5559564153625893,0
121.0,0.7527883764832728,0
122.0,0.5348135318457488,0
125.0,0.637773832999884,0
127.0,0.679742397155796,1
129.0,0.754775201923987,0
131.0,0.5732617418268242,0
136.0,0.5577746046621356,0
137.0,0.6902029692486842,0
140.0,0.8559994832289909,0
141.0,0.8020402395946171,1
143.0,0.6116325526335259,0
144.0,0.5568986150691634,0
145.0,0.5710249272515799,0
147.0,0.7361820415917106,1
148.0,0.9945612385241344,1
149.0,0.7525941843281825,1
150.0,0.6660833086037498,1
155.0,0.6984673989618863,1
160.0,0.6486348675602156,0
162.0,0.6035064003865223,0
164.0,0.5300126251588966,1
166.0,0.6906406528183209,0
167.0,0.5495919921150426,0
168.0,0.5599949663188397,0
170.0,0.5218400876785937,0
173.0,0.8694053124836109,1
175.0,0.558979618373045,1
176.0,0.5912448960002394,0
178.0,0.6511264141510323,0
179.0,0.8380595721883717,0
180.0,0.5938956696018792,1
182.0,0.8343648263965527,0
187.0,0.5547284691562739,0
190.0,0.712053578179784,1
191.0,0.5561504987677158,1
192.0,0.7997379715917449,0
194.0,0.6259115778239738,1
195.0,0.9993861932320038,1
197.0,0.8691624149664944,1
198.0,0.5886229170052177,1
199.0,0.6658412004951496,1
203.0,0.6222441383574923,0
205.0,0.5666700677702283,1
206.0,0.5726588630816497,1
208.0,0.6493548749769122,0
209.0,0.5608465722758464,1
211.0,0.5091650512384869,0
214.0,0.5602369452349563,1
217.0,0.6179609903613378,1
